name,price,currency,availability,url
Green Onion (Hari Pyaaz) 250g,50,PKR,InStock,https://www.naheed.pk/green-onion-pyaaz-250g
Carrot (Gajar) 1 KG,160,PKR,InStock,https://www.naheed.pk/carrot-gajar-1-kg
Onion (Pyaaz) 1 KG,80,PKR,InStock,https://www.naheed.pk/onion-pyaaz-1-kg
Cabbage (Gobi) Purple Local Per Piece,80,PKR,InStock,https://www.naheed.pk/cabbage-gobi-purple-local-per-piece
Kiwi Local 250g,300,PKR,InStock,https://www.naheed.pk/kiwi-local-250g
Basil (Tulsi) Leaves Local 80g (Approx),120,PKR,InStock,https://www.naheed.pk/basil-tulsi-leaves-local-80g-approx
Rocket Leaves Local 80g (Approx),140,PKR,InStock,https://www.naheed.pk/rocket-leaves-local-80g-approx
Gol Lauki Local 500g,70,PKR,InStock,https://www.naheed.pk/gol-lauki-local-500g
White Onion (Pyaaz) 1 KG,650,PKR,InStock,https://www.naheed.pk/white-onion-pyaaz-1-kg
Watermelon Local Per Piece,1050,PKR,InStock,https://www.naheed.pk/watermelon-local-per-piece
Sweet Tamarind Local 250g,700,PKR,InStock,https://www.naheed.pk/sweet-tamarind-local-250g
Apple Irani 1 KG,630,PKR,InStock,https://www.naheed.pk/apple-irani-1-kg
Pineapple Per Piece,2500,PKR,InStock,https://www.naheed.pk/pineapple-per-piece
Green Apple Local 1 KG,520,PKR,InStock,https://www.naheed.pk/green-apple-local-1-kg
Chikoo (Sapodilla) Local 500g,200,PKR,InStock,https://www.naheed.pk/chikoo-sapodilla-local-500g
Cabbage (Gobi) Local Per Piece,40,PKR,InStock,https://www.naheed.pk/cabbage-gobi-local-per-piece
Cauliflower (Phool Gobi) Local Per Piece,130,PKR,InStock,https://www.naheed.pk/cauliflower-phool-gobi-local-per-piece
Banana Local 1-Dozen,300,PKR,InStock,https://www.naheed.pk/banana-local-1-dozen
Lambi Lauki Local 500g,70,PKR,InStock,https://www.naheed.pk/lambi-lauki-local-500g
Lemon (Leemun) Local 300g,320,PKR,InStock,https://www.naheed.pk/lemon-leemun-local-300g
Beetroot (Chukandar) Local 250g,30,PKR,InStock,https://www.naheed.pk/beetroot-chukandar-local-250g
Curry Leaves (Kari Patta) Local 1-Bunch,25,PKR,InStock,https://www.naheed.pk/curry-leaves-kari-patta-local-1-bunch
Capsicum (Shimlaa) Local 250g,30,PKR,InStock,https://www.naheed.pk/capsicum-shimlaa-local-250g
Coriander (Dhania) Leaves Local 1-Bunch,20,PKR,InStock,https://www.naheed.pk/coriander-dhania-leaves-local-1-bunch
Sugarcane Local Pack,200,PKR,InStock,https://www.naheed.pk/sugarcane-local-pack
"Fresh Basket Curly Kale, Local, 80g (Approx)",370,PKR,InStock,https://www.naheed.pk/fresh-basket-curly-kale-local-80g-approx
German Chilli (Mirchi) Local 250g,160,PKR,InStock,https://www.naheed.pk/german-chilli-mirchi-local-250g
Leek (Gandana) Local Per Piece,240,PKR,InStock,https://www.naheed.pk/leek-green-onion-hari-pyaz-local-per-piece
Grapefruit Local 1 Piece,110,PKR,InStock,https://www.naheed.pk/grapefruit-local-1-piece
Coconut Local 1-Piece,700,PKR,InStock,https://www.naheed.pk/coconut-local-1-piece
Malir Chilli (Mirchi) Local 250g,65,PKR,InStock,https://www.naheed.pk/malir-chilli-mirchi-local-250g
Mint Leaves (Pudina) Local 1-Bunch,20,PKR,InStock,https://www.naheed.pk/mint-leaves-pudina-local-1-bunch
